quarter,level_1,level_2,value
2001-Q2,Residential Properties,Non-landed,89.8
2001-Q3,Residential Properties,Landed,88.9
2001-Q3,Residential Properties,Non-landed,87.3
2001-Q4,Residential Properties,Landed,87
2001-Q4,Residential Properties,Non-landed,82.7
2002-Q1,Residential Properties,Landed,85.4
2002-Q1,Residential Properties,Non-landed,82
2002-Q2,Residential Properties,Landed,85
2002-Q2,Residential Properties,Non-landed,81.4
2002-Q3,Residential Properties,Landed,85.4
2002-Q3,Residential Properties,Non-landed,81.6
2002-Q4,Residential Properties,Landed,85.1
2002-Q4,Residential Properties,Non-landed,81.3
2003-Q1,Residential Properties,Landed,84.4
2003-Q1,Residential Properties,Non-landed,80.6
2003-Q2,Residential Properties,Landed,83.8
2003-Q2,Residential Properties,Non-landed,80.2
2003-Q3,Residential Properties,Landed,83.2
2003-Q3,Residential Properties,Non-landed,79.9
2003-Q4,Residential Properties,Landed,83.1
2003-Q4,Residential Properties,Non-landed,79.9
2004-Q1,Residential Properties,Landed,82.7
2004-Q1,Residential Properties,Non-landed,79.6
2004-Q2,Residential Properties,Landed,83
2004-Q2,Residential Properties,Non-landed,79.6
2004-Q3,Residential Properties,Landed,83.3
2004-Q3,Residential Properties,Non-landed,79.9
2004-Q4,Residential Properties,Landed,83.6
2004-Q4,Residential Properties,Non-landed,80.8
2005-Q1,Residential Properties,Landed,84
2005-Q1,Residential Properties,Non-landed,81.4
2005-Q2,Residential Properties,Landed,84.1
2005-Q2,Residential Properties,Non-landed,81.9
2005-Q3,Residential Properties,Landed,84.8
2005-Q3,Residential Properties,Non-landed,83.1
2005-Q4,Residential Properties,Landed,85.6
2005-Q4,Residential Properties,Non-landed,84.4
2006-Q1,Residential Properties,Landed,86.8
2006-Q1,Residential Properties,Non-landed,85.7
2006-Q2,Residential Properties,Landed,88.2
2006-Q2,Residential Properties,Non-landed,87.2
2006-Q3,Residential Properties,Landed,89.2
2006-Q3,Residential Properties,Non-landed,90
2006-Q4,Residential Properties,Landed,91.3
2006-Q4,Residential Properties,Non-landed,93.8
2007-Q1,Residential Properties,Landed,94
2007-Q1,Residential Properties,Non-landed,98.8
2007-Q2,Residential Properties,Landed,100.6
2007-Q2,Residential Properties,Non-landed,107.1
2007-Q3,Residential Properties,Landed,108.1
2007-Q3,Residential Properties,Non-landed,116
2007-Q4,Residential Properties,Landed,112.7
2007-Q4,Residential Properties,Non-landed,124.4
2008-Q1,Residential Properties,Landed,117.1
2008-Q1,Residential Properties,Non-landed,129
2008-Q2,Residential Properties,Landed,117.8
2008-Q2,Residential Properties,Non-landed,129
2008-Q3,Residential Properties,Landed,115.7
2008-Q3,Residential Properties,Non-landed,125.8
2008-Q4,Residential Properties,Landed,110.1
2008-Q4,Residential Properties,Non-landed,117.8
2009-Q1,Residential Properties,Landed,100
2009-Q1,Residential Properties,Non-landed,100
2009-Q2,Residential Properties,Landed,95.3
2009-Q2,Residential Properties,Non-landed,95.3
2009-Q3,Residential Properties,Landed,109.5
2009-Q3,Residential Properties,Non-landed,110.5
2009-Q4,Residential Properties,Landed,118.6
2009-Q4,Residential Properties,Non-landed,118.4
2010-Q1,Residential Properties,Landed,128.4
2010-Q1,Residential Properties,Non-landed,124.3
2010-Q2,Residential Properties,Landed,136.4
2010-Q2,Residential Properties,Non-landed,130.5
2010-Q3,Residential Properties,Landed,147
2010-Q3,Residential Properties,Non-landed,132.6
2010-Q4,Residential Properties,Landed,155.1
2010-Q4,Residential Properties,Non-landed,135
2011-Q1,Residential Properties,Landed,161.1
2011-Q1,Residential Properties,Non-landed,137.3
2011-Q2,Residential Properties,Landed,166.9
2011-Q2,Residential Properties,Non-landed,139.2
2011-Q3,Residential Properties,Landed,170.8
2011-Q3,Residential Properties,Non-landed,140.8
2011-Q4,Residential Properties,Landed,171
2011-Q4,Residential Properties,Non-landed,141.2
2012-Q1,Residential Properties,Landed,171.2
2012-Q1,Residential Properties,Non-landed,141
2012-Q2,Residential Properties,Landed,171.9
2012-Q2,Residential Properties,Non-landed,141.6
2012-Q3,Residential Properties,Landed,173.9
2012-Q3,Residential Properties,Non-landed,142.3
2012-Q4,Residential Properties,Landed,177
2012-Q4,Residential Properties,Non-landed,144.8
2013-Q1,Residential Properties,Landed,177.8
2013-Q1,Residential Properties,Non-landed,145.9
2013-Q2,Residential Properties,Landed,178.4
2013-Q2,Residential Properties,Non-landed,148
2013-Q3,Residential Properties,Landed,178.9
2013-Q3,Residential Properties,Non-landed,148.9
2013-Q4,Residential Properties,Landed,177.1
2013-Q4,Residential Properties,Non-landed,147.6
2014-Q1,Residential Properties,Landed,175.9
2014-Q1,Residential Properties,Non-landed,145.7
2014-Q2,Residential Properties,Landed,172.9
2014-Q2,Residential Properties,Non-landed,144.5
2014-Q3,Residential Properties,Landed,169.8
2014-Q3,Residential Properties,Non-landed,143.9
2014-Q4,Residential Properties,Landed,167.6
2014-Q4,Residential Properties,Non-landed,142.5
2015-Q1,Residential Properties,Landed,166.1
2015-Q1,Residential Properties,Non-landed,140.9
2015-Q2,Residential Properties,Landed,164.4
2015-Q2,Residential Properties,Non-landed,139.8
