"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"9061","THE SEAFRONT ON MEYER","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2475000","-","1604","Strata","01 to 05","1543","May-2017"
"9062","THE HELICONIA","JALAN DAUD","Condominium","14","OCR","Freehold","Resale","1","1163800","-","1346","Strata","01 to 05","865","May-2017"
"9063","COSTA RHU","RHU CROSS","Condominium","15","RCR","99 yrs lease commencing from 1994","Resale","1","2100000","-","1776","Strata","11 to 15","1182","May-2017"
"9064","THE ESTA","AMBER GARDENS","Condominium","15","RCR","Freehold","Resale","1","1980000","-","1346","Strata","11 to 15","1472","May-2017"
"9065","THE HELICONIA","JALAN DAUD","Condominium","14","OCR","Freehold","Resale","1","1200000","-","1302","Strata","06 to 10","921","May-2017"
"9066","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","1526000","-","829","Strata","16 to 20","1841","May-2017"
"9067","ENG AUN MANSION","THOMSON ROAD","Apartment","11","CCR","Freehold","Resale","1","1150000","-","1249","Strata","01 to 05","921","May-2017"
"9068","ONE EIGHTIES RESIDENCES","JOO CHIAT TERRACE","Apartment","15","RCR","Freehold","Resale","1","900000","-","614","Strata","01 to 05","1467","May-2017"
"9069","TRILIGHT","NEWTON ROAD","Condominium","11","CCR","Freehold","Resale","1","3514000","-","2099","Strata","06 to 10","1674","May-2017"
"9070","FLAMINGO VALLEY","SIGLAP ROAD","Condominium","15","OCR","Freehold","Resale","1","1120000","-","818","Strata","01 to 05","1369","May-2017"
"9071","SKY GREEN","MACPHERSON ROAD","Condominium","13","RCR","Freehold","Resale","1","726500","-","495","Strata","01 to 05","1467","May-2017"
"9072","26 NEWTON","NEWTON ROAD","Apartment","11","CCR","Freehold","Resale","1","1100000","-","484","Strata","06 to 10","2271","May-2017"
"9073","THE MAKENA","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","1680000","-","1292","Strata","11 to 15","1301","May-2017"
"9074","HILLCREST ARCADIA","ARCADIA ROAD","Condominium","11","CCR","99 yrs lease commencing from 1975","Resale","1","1340000","-","1711","Strata","01 to 05","783","May-2017"
"9075","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","1743000","-","883","Strata","26 to 30","1975","May-2017"
"9076","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","1815000","-","883","Strata","31 to 35","2056","May-2017"
"9077","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","2063160","-","1098","Strata","21 to 25","1879","May-2017"
"9078","THE TRUMPS","JALAN KEMBANGAN","Condominium","14","OCR","99 yrs lease commencing from 2000","Resale","1","875000","-","700","Strata","06 to 10","1251","May-2017"
"9079","SILVERSEA","MARINE PARADE ROAD","Condominium","15","RCR","99 yrs lease commencing from 2007","Resale","1","2720000","-","1507","Strata","06 to 10","1805","May-2017"
"9080","SOLEIL @ SINARAN","SINARAN DRIVE","Condominium","11","CCR","99 yrs lease commencing from 2006","Resale","1","3160000","-","1722","Strata","26 to 30","1835","May-2017"
"9081","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2770000","-","1313","Strata","21 to 25","2109","May-2017"
"9082","SOLEIL @ SINARAN","SINARAN DRIVE","Condominium","11","CCR","99 yrs lease commencing from 2006","Resale","1","938000","-","495","Strata","16 to 20","1894","May-2017"
"9083","THE WATER EDGE","LORONG 38 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","535000","-","398","Strata","01 to 05","1343","May-2017"
"9084","STILL MANSIONS","STILL ROAD","Apartment","15","OCR","Freehold","Resale","1","970000","-","1044","Strata","01 to 05","929","May-2017"
"9085","LA FLEUR","LORONG 26 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","550088","-","463","Strata","06 to 10","1188","May-2017"
"9086","ONE AMBER","AMBER GARDENS","Condominium","15","RCR","Freehold","Resale","1","1870000","-","1302","Strata","11 to 15","1436","May-2017"
"9087","PARK INFINIA AT WEE NAM","LINCOLN ROAD","Condominium","11","CCR","Freehold","Resale","1","1050000","-","560","Strata","26 to 30","1876","May-2017"
"9088","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","1504000","-","775","Strata","11 to 15","1941","May-2017"
"9089","ASTORIA PARK","LORONG MYDIN","Condominium","14","OCR","99 yrs lease commencing from 1993","Resale","1","920000","-","958","Strata","11 to 15","960","May-2017"
"9090","VILLA MARINA","JALAN SEMPADAN","Condominium","15","OCR","99 yrs lease commencing from 1995","Resale","1","1200000","-","1249","Strata","01 to 05","961","May-2017"
"9091","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2930000","-","1313","Strata","26 to 30","2231","May-2017"
"9092","STARVILLE","LENGKONG TIGA","Condominium","14","OCR","Freehold","Resale","1","1180000","-","1216","Strata","06 to 10","970","May-2017"
"9093","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","1388000","-","678","Strata","11 to 15","2047","May-2017"
"9094","26 NEWTON","NEWTON ROAD","Apartment","11","CCR","Freehold","Resale","1","1191855","-","484","Strata","06 to 10","2461","May-2017"
"9095","PARC MONDRIAN","WOODLEIGH CLOSE","Apartment","13","RCR","Freehold","Resale","1","1150000","-","904","Strata","16 to 20","1272","May-2017"
