"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"891","SELETAR HILLS ESTATE","JALAN KELULUT","28","Semi-Detached House","na*","8500","3500 to 4000","Aug-2018"
"892","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5363","3000 to 3500","Aug-2018"
"893","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5000","3000 to 3500","Aug-2018"
"894","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4889","2500 to 3000","Aug-2018"
"895","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5000","3000 to 3500","Aug-2018"
"896","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5700","3000 to 3500","Aug-2018"
"897","SELETAR GARDEN","CACTUS ROAD","28","Terrace House","na*","4200","3000 to 3500","Aug-2018"
"898","LANDED HOUSING DEVELOPMENT","SELETAR HILLS DRIVE","28","Terrace House","na*","3000","3000 to 3500","Aug-2018"
"899","MIMOSA TERRACE","MIMOSA TERRACE","28","Terrace House","na*","4000","2000 to 2500","Aug-2018"
"900","LILAC PARK","LILAC DRIVE","28","Terrace House","na*","2500","2000 to 2500","Aug-2018"
"901","MIMOSA TERRACE","MIMOSA TERRACE","28","Terrace House","na*","3820","2000 to 2500","Aug-2018"
"902","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5169","2500 to 3000","Aug-2018"
"903","LANDED HOUSING DEVELOPMENT","SELETAR CLOSE","28","Detached House","na*","11000","4000 to 4500","Aug-2018"
"904","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5000","2500 to 3000","Jul-2018"
"905","LANDED HOUSING DEVELOPMENT","GERALD PARK","28","Terrace House","na*","3800","1500 to 2000","Jul-2018"
"906","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4795","2500 to 3000","Jul-2018"
"907","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4500","2000 to 2500","Jul-2018"
"908","LANDED HOUSING DEVELOPMENT","WAK HASSAN PLACE","27","Semi-Detached House","na*","6500","3500 to 4000","Jul-2018"
"909","BELGRAVIA VILLAS","BELGRAVIA DRIVE","28","Terrace House","na*","5800","3500 to 4000","Jul-2018"
"910","CAMELIA PARK","TAMARIND ROAD","28","Semi-Detached House","na*","3550","2500 to 3000","Jul-2018"
"911","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","4300","2000 to 2500","Jul-2018"
"912","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","4600","2500 to 3000","Jul-2018"
"913","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4700","3000 to 3500","Jul-2018"
"914","LANDED HOUSING DEVELOPMENT","LORONG TANGGAM","28","Semi-Detached House","na*","3800","2500 to 3000","Jul-2018"
"915","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4200","2000 to 2500","Jul-2018"
"916","CAMELIA PARK","TAMARIND ROAD","28","Semi-Detached House","na*","5300","2000 to 2500","Jul-2018"
"917","GREEN SPRINGS","GERALD CRESCENT","28","Terrace House","na*","3200","2000 to 2500","Jul-2018"
"918","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","3500","2000 to 2500","Jul-2018"
"919","SUNRISE VILLA","SUNRISE CLOSE","28","Terrace House","na*","2600","1500 to 2000","Jul-2018"
"920","DEDAP GARDENS","DEDAP LINK","28","Terrace House","na*","3300","1500 to 2000","Jul-2018"
"921","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4400","2500 to 3000","Jul-2018"
"922","SEMBAWANG SQUARE ESTATE","SEMBAWANG ROAD","27","Semi-Detached House","na*","3000","2000 to 2500","Jul-2018"
"923","LANDED HOUSING DEVELOPMENT","GERALD PARK","28","Terrace House","na*","3700","1500 to 2000","Jul-2018"
"924","SELETAR HILLS ESTATE","JALAN KETUMBIT","28","Terrace House","na*","3000","1000 to 1500","Jul-2018"
"925","BELGRAVIA PARK","SELETAR TERRACE","28","Semi-Detached House","na*","5500","2500 to 3000","Jul-2018"
"926","SUNRISE VILLA","SUNRISE CLOSE","28","Terrace House","na*","3000","1500 to 2000","Jul-2018"
"927","LANDED HOUSING DEVELOPMENT","NERAM ROAD","28","Detached House","na*","11300","2500 to 3000","Jul-2018"
"928","MIMOSA VILLAS","MIMOSA WALK","28","Semi-Detached House","na*","3000","3000 to 3500","Jul-2018"
"929","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Semi-Detached House","na*","2800","1500 to 2000","Jul-2018"
"930","SEMBAWANG SPRINGS ESTATE","JALAN SALANG","27","Semi-Detached House","na*","8000","<= 1000","Jul-2018"
"931","LANDED HOUSING DEVELOPMENT","MIMOSA CRESCENT","28","Semi-Detached House","na*","4900","2000 to 2500","Jul-2018"
"932","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","2000","2500 to 3000","Jul-2018"
"933","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","3000","2500 to 3000","Jul-2018"
"934","SELETAR HILLS ESTATE","NERAM ROAD","28","Terrace House","na*","3500","1000 to 1500","Jul-2018"
"935","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","6200","2500 to 3000","Jul-2018"
"936","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4900","2000 to 2500","Jul-2018"
"937","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4889","2500 to 3000","Jul-2018"
"938","SELETAR HILLS ESTATE","JALAN BANGAU","28","Semi-Detached House","na*","3800","1500 to 2000","Jul-2018"
"939","MUGLISTON HILL","MUGLISTON PARK","28","Terrace House","na*","3400","1500 to 2000","Jul-2018"
"940","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4702","2500 to 3000","Jul-2018"
"941","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Terrace House","na*","5400","3000 to 3500","Jul-2018"
"942","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4889","3000 to 3500","Jul-2018"
"943","ESTE VILLA","NIM ROAD","28","Terrace House","na*","6950","4000 to 4500","Jul-2018"
"944","ALANA","SUNRISE TERRACE","28","Terrace House","na*","6391","3000 to 3500","Jul-2018"
"945","SELETAR GARDEN","CACTUS CRESCENT","28","Detached House","na*","6700","4000 to 4500","Jul-2018"
"946","SUNRISE VILLA","SUNRISE TERRACE","28","Terrace House","na*","3000","1500 to 2000","Jul-2018"
"947","LANDED HOUSING DEVELOPMENT","MILTONIA CLOSE","27","Terrace House","na*","4000","2000 to 2500","Jul-2018"
"948","SELETAR GARDEN","CACTUS ROAD","28","Terrace House","na*","3300","2000 to 2500","Jul-2018"
"949","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4000","2500 to 3000","Jun-2018"
"950","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4300","2000 to 2500","Jun-2018"
"951","PLATINA GARDENS","PLATINA ROAD","27","Terrace House","na*","3400","1000 to 1500","Jun-2018"
"952","SELETAR HILLS ESTATE","JALAN JORAN","28","Semi-Detached House","na*","3600","1500 to 2000","Jun-2018"
"953","SEMBAWANG SQUARE ESTATE","SEMBAWANG ROAD","27","Semi-Detached House","na*","3200","1500 to 2000","Jun-2018"
"954","SELETAR HILLS ESTATE","JALAN KECHUBONG","28","Detached House","na*","4100","1000 to 1500","Jun-2018"
"955","MIMOSA VILLAS","MIMOSA WALK","28","Semi-Detached House","na*","5000","3000 to 3500","Jun-2018"
"956","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4889","2500 to 3000","Jun-2018"
"957","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5300","3500 to 4000","Jun-2018"
"958","SELETAR HILLS ESTATE","KASAI ROAD","28","Semi-Detached House","na*","5800","2500 to 3000","Jun-2018"
"959","FLORIDA PARK","SUNRISE WAY","28","Terrace House","na*","4000","2000 to 2500","Jun-2018"
"960","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","2900","1500 to 2000","Jun-2018"
"961","SEMBAWANG STRAITS ESTATE","JALAN MACHANG","27","Semi-Detached House","na*","1900","1000 to 1500","Jun-2018"
"962","SELETAR HILLS ESTATE","SARACA ROAD","28","Semi-Detached House","na*","5400","2500 to 3000","Jun-2018"
"963","LANDED HOUSING DEVELOPMENT","WAK HASSAN PLACE","27","Semi-Detached House","na*","6800","3500 to 4000","Jun-2018"
"964","TUAN SING PARK","UPPER NERAM ROAD","28","Semi-Detached House","na*","3000","2000 to 2500","Jun-2018"
"965","SARACA GARDENS","SARACA WALK","28","Semi-Detached House","na*","3500","2500 to 3000","Jun-2018"
"966","SELETAR HILLS ESTATE","JALAN LEBAT DAUN","28","Semi-Detached House","na*","3000","2000 to 2500","Jun-2018"
"967","SELETAR HILLS ESTATE","JALAN JARAK","28","Semi-Detached House","na*","2600","1000 to 1500","Jun-2018"
"968","TUAN SING PARK","DEDAP ROAD","28","Semi-Detached House","na*","5000","4000 to 4500","Jun-2018"
"969","SEMBAWANG SPRINGS ESTATE","JALAN HIKAYAT","27","Semi-Detached House","na*","1700","2000 to 2500","Jun-2018"
"970","SEMBAWANG PARK","JALAN LENGKOK SEMBAWANG","27","Semi-Detached House","na*","4300","1000 to 1500","Jun-2018"
"971","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","3000","1500 to 2000","Jun-2018"
"972","LANDED HOUSING DEVELOPMENT","MIMOSA VIEW","28","Terrace House","na*","3800","2000 to 2500","Jun-2018"
"973","LANDED HOUSING DEVELOPMENT","JALAN TARI DULANG","28","Terrace House","na*","2600","1500 to 2000","Jun-2018"
"974","SUNRISE VILLA","SUNRISE WALK","28","Terrace House","na*","3700","2000 to 2500","Jun-2018"
"975","MIMOSA PARK","MIMOSA CRESCENT","28","Terrace House","na*","4400","2000 to 2500","Jun-2018"
"976","MIMOSA PARK","MIMOSA ROAD","28","Terrace House","na*","4900","2000 to 2500","Jun-2018"
"977","SARACA GARDENS","SARACA VIEW","28","Terrace House","na*","4200","2000 to 2500","Jun-2018"
"978","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","4200","2500 to 3000","Jun-2018"
"979","BELGRAVIA PARK","SELETAR TERRACE","28","Terrace House","na*","3500","2000 to 2500","Jun-2018"
"980","SEMBAWANG STRAITS ESTATE","JALAN GELAM","27","Detached House","na*","3650","1500 to 2000","Jun-2018"
"981","LANDED HOUSING DEVELOPMENT","JALAN TARI ZAPIN","28","Terrace House","na*","1500","1000 to 1500","Jun-2018"
"982","FANTA GARDEN","BEGONIA DRIVE","28","Terrace House","na*","4000","2500 to 3000","Jun-2018"
"983","SELETAR HILLS ESTATE","JALAN SELASEH","28","Terrace House","na*","3000","1000 to 1500","Jun-2018"
"984","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4800","2500 to 3000","May-2018"
"985","LANDED HOUSING DEVELOPMENT","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","3600","2000 to 2500","May-2018"
"986","THE SHORELINE RESIDENCES II","WAK HASSAN DRIVE","27","Terrace House","na*","6200","3000 to 3500","May-2018"
"987","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4889","3000 to 3500","May-2018"
"988","KECHUBONG TERRACE","JALAN KECHUBONG","28","Terrace House","na*","3500","2000 to 2500","May-2018"
"989","LILAC PARK","NIM ROAD","28","Semi-Detached House","na*","5500","2500 to 3000","May-2018"
"990","SELETAR VIEW","SELETAR HILLS DRIVE","28","Terrace House","na*","4000","1500 to 2000","May-2018"
"991","LANDED HOUSING DEVELOPMENT","ANDREWS TERRACE","27","Terrace House","na*","5600","2500 to 3000","May-2018"
"992","LANDED HOUSING DEVELOPMENT","GERALD CRESCENT","28","Semi-Detached House","na*","3900","2000 to 2500","May-2018"
"993","SEMBAWANG SPRINGS ESTATE","JALAN SALANG","27","Semi-Detached House","na*","3000","2000 to 2500","May-2018"
"994","SUNRISE VILLA","SUNRISE DRIVE","28","Semi-Detached House","na*","3400","1500 to 2000","May-2018"
"995","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4500","2000 to 2500","May-2018"
"996","SELETAR HILLS ESTATE","JALAN RENGAS","28","Semi-Detached House","na*","4500","1000 to 1500","May-2018"
"997","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Terrace House","na*","4500","2000 to 2500","May-2018"
"998","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","3000","1500 to 2000","May-2018"
"999","BELGRAVIA PARK","SELETAR TERRACE","28","Terrace House","na*","3900","2000 to 2500","May-2018"
"1000","SELETAR HILLS ESTATE","SELETAR HILLS DRIVE","28","Terrace House","na*","3000","1500 to 2000","May-2018"
"1001","STRATTON PARK","STRATTON PLACE","28","Terrace House","na*","3300","1500 to 2000","May-2018"
"1002","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","3000","1500 to 2000","May-2018"
"1003","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","3900","2000 to 2500","May-2018"
"1004","SEMBAWANG STRAITS ESTATE","JALAN SANKAM","27","Terrace House","na*","3175","1000 to 1500","May-2018"
"1005","SELETAR HILLS ESTATE","JALAN ANTOI","28","Semi-Detached House","na*","2100","<= 1000","May-2018"
"1006","SELETAR HILLS ESTATE","JALAN BANGAU","28","Semi-Detached House","na*","2300","1000 to 1500","May-2018"
"1007","SELETAR HILLS ESTATE","JALAN JITONG","28","Semi-Detached House","na*","2750","1500 to 2000","May-2018"
"1008","SEMBAWANG SPRINGS ESTATE","JALAN SAJAK","27","Semi-Detached House","na*","3550","4000 to 4500","May-2018"
"1009","SELETAR HILLS ESTATE","MIMOSA CRESCENT","28","Detached House","na*","9000","3500 to 4000","Apr-2018"
"1010","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Terrace House","na*","3700","2000 to 2500","Apr-2018"
"1011","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4800","2500 to 3000","Apr-2018"
"1012","SEMBAWANG STRAITS ESTATE","JALAN BASONG","27","Semi-Detached House","na*","2400","1500 to 2000","Apr-2018"
"1013","SUNRISE VILLA","SUNRISE DRIVE","28","Terrace House","na*","3500","1500 to 2000","Apr-2018"
"1014","LANDED HOUSING DEVELOPMENT","LORONG TANGGAM","28","Terrace House","na*","4000","2500 to 3000","Apr-2018"
"1015","SELETAR HILLS ESTATE","JALAN BANGAU","28","Semi-Detached House","na*","2000","1000 to 1500","Apr-2018"
"1016","LANDED HOUSING DEVELOPMENT","GERALD DRIVE","28","Semi-Detached House","na*","2500","3000 to 3500","Apr-2018"
"1017","DEDAP GARDENS","DEDAP PLACE","28","Terrace House","na*","4000","1500 to 2000","Apr-2018"
"1018","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Terrace House","na*","3550","2500 to 3000","Apr-2018"
"1019","LANDED HOUSING DEVELOPMENT","JALAN TARI PIRING","28","Terrace House","na*","2850","1000 to 1500","Apr-2018"
"1020","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5082","3000 to 3500","Apr-2018"
"1021","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4500","3000 to 3500","Apr-2018"
"1022","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4500","2000 to 2500","Apr-2018"
"1023","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4400","2000 to 2500","Apr-2018"
"1024","SEMBAWANG SPRINGS ESTATE","JALAN CHERPEN","27","Detached House","na*","3933","1000 to 1500","Apr-2018"
"1025","LANDED HOUSING DEVELOPMENT","SUNRISE AVENUE","28","Semi-Detached House","na*","4000","2000 to 2500","Apr-2018"
"1026","LANDED HOUSING DEVELOPMENT","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","3600","2000 to 2500","Apr-2018"
"1027","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Semi-Detached House","na*","3400","1500 to 2000","Apr-2018"
"1028","SELETAR HILLS ESTATE","JALAN JARAK","28","Semi-Detached House","na*","2750","<= 1000","Apr-2018"
"1029","JALAN KAYU ESTATE","JALAN TARI PIRING","28","Terrace House","na*","4500","4000 to 4500","Apr-2018"
"1030","LANDED HOUSING DEVELOPMENT","JALAN REDOP","28","Terrace House","na*","3300","2000 to 2500","Apr-2018"
"1031","PLATINA GARDENS","PLATINA ROAD","27","Terrace House","na*","3200","2000 to 2500","Apr-2018"
"1032","SELETAR HILLS ESTATE","JALAN JORAN","28","Semi-Detached House","na*","3500","1500 to 2000","Apr-2018"
"1033","STRAITS GARDENS","ANDREWS TERRACE","27","Terrace House","na*","5080","2000 to 2500","Mar-2018"
"1034","LANDED HOUSING DEVELOPMENT","WAK HASSAN DRIVE","27","Terrace House","na*","6700","3500 to 4000","Mar-2018"
"1035","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4889","3000 to 3500","Mar-2018"
"1036","SEMBAWANG SPRINGS ESTATE","JALAN SENDUDOK","27","Semi-Detached House","na*","2800","1000 to 1500","Mar-2018"
"1037","SUNRISE VILLA","SUNRISE AVENUE","28","Semi-Detached House","na*","3500","2000 to 2500","Mar-2018"
"1038","LANDED HOUSING DEVELOPMENT","JALAN BANGAU","28","Semi-Detached House","na*","3700","3000 to 3500","Mar-2018"
"1039","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","5700","2000 to 2500","Mar-2018"
"1040","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","4200","2000 to 2500","Mar-2018"
"1041","SELETAR HILLS ESTATE","NERAM ROAD","28","Semi-Detached House","na*","4400","2500 to 3000","Mar-2018"
"1042","LANDED HOUSING DEVELOPMENT","JALAN TARI PIRING","28","Terrace House","na*","3100","1000 to 1500","Mar-2018"
"1043","LANDED HOUSING DEVELOPMENT","JALAN TARI PIRING","28","Terrace House","na*","2400","1000 to 1500","Mar-2018"
"1044","GOODLINK PARK","GOODLINK PARK","27","Semi-Detached House","na*","3800","3000 to 3500","Mar-2018"
"1045","MIMOSA VILLAS","MIMOSA WALK","28","Semi-Detached House","na*","7350","3500 to 4000","Mar-2018"
"1046","SELETAR HILLS ESTATE","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","2300","2000 to 2500","Mar-2018"
"1047","MIMOSA VILLAS","MIMOSA WALK","28","Semi-Detached House","na*","4000","3000 to 3500","Mar-2018"
"1048","SELETAR HILLS ESTATE","JALAN BANGAU","28","Semi-Detached House","na*","6000","4500 to 5000","Mar-2018"
"1049","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","4050","2000 to 2500","Mar-2018"
"1050","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4600","3000 to 3500","Mar-2018"
"1051","KECHUBONG TERRACE","JALAN KECHUBONG","28","Terrace House","na*","4000","2000 to 2500","Mar-2018"
"1052","LANDED HOUSING DEVELOPMENT","JALAN TARI SERIMPI","28","Terrace House","na*","3400","2000 to 2500","Mar-2018"
"1053","LANDED HOUSING DEVELOPMENT","SUNRISE AVENUE","28","Terrace House","na*","4600","3000 to 3500","Feb-2018"
"1054","LILAC PARK","LILAC ROAD","28","Semi-Detached House","na*","4300","2500 to 3000","Feb-2018"
"1055","SEMBAWANG VILLAS","SEMBAWANG PLACE","27","Semi-Detached House","na*","5250","2500 to 3000","Feb-2018"
"1056","SELETAR HILLS ESTATE","SARACA ROAD","28","Semi-Detached House","na*","4500","2000 to 2500","Feb-2018"
"1057","BELGRAVIA PARK","SELETAR TERRACE","28","Terrace House","na*","4000","2000 to 2500","Feb-2018"
"1058","SEMBAWANG SQUARE ESTATE","SEMBAWANG ROAD","27","Semi-Detached House","na*","3800","2000 to 2500","Feb-2018"
"1059","SUNRISE VILLA","SUNRISE CLOSE","28","Terrace House","na*","3000","1500 to 2000","Feb-2018"
"1060","SEMBAWANG PARK","JALAN LENGKOK SEMBAWANG","27","Semi-Detached House","na*","2100","1000 to 1500","Feb-2018"
"1061","DEDAP GARDENS","DEDAP LINK","28","Terrace House","na*","3700","1500 to 2000","Feb-2018"
"1062","SELETAR HILLS ESTATE","JALAN JARAK","28","Semi-Detached House","na*","2700","1000 to 1500","Feb-2018"
"1063","PLATINA GARDENS","PLATINA ROAD","27","Terrace House","na*","3200","1500 to 2000","Feb-2018"
"1064","SUNRISE VILLA","SUNRISE DRIVE","28","Semi-Detached House","na*","3200","2500 to 3000","Feb-2018"
"1065","FLORIDA PARK","SUNRISE WAY","28","Terrace House","na*","4000","2000 to 2500","Feb-2018"
"1066","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","3900","2000 to 2500","Feb-2018"
"1067","SELETAR HILLS ESTATE","JALAN LAKUM","28","Terrace House","na*","3000","<= 1000","Feb-2018"
"1068","MUGLISTON HILL","MUGLISTON WALK","28","Semi-Detached House","na*","3800","2500 to 3000","Feb-2018"
"1069","CACTUS GREEN","CACTUS CRESCENT","28","Semi-Detached House","na*","4000","2500 to 3000","Feb-2018"
"1070","GERALD GARDENS","GERALD CRESCENT","28","Terrace House","na*","5600","2000 to 2500","Feb-2018"
"1071","SEMBAWANG SPRINGS ESTATE","JALAN SHAER","27","Detached House","na*","3100","1000 to 1500","Feb-2018"
"1072","MUGLISTON HILL","MUGLISTON WALK","28","Terrace House","na*","2800","2000 to 2500","Feb-2018"
"1073","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","3600","1500 to 2000","Feb-2018"
"1074","LANDED HOUSING DEVELOPMENT","BEGONIA ROAD","28","Semi-Detached House","na*","3300","2500 to 3000","Feb-2018"
"1075","LANDED HOUSING DEVELOPMENT","JALAN KETUMBIT","28","Terrace House","na*","4200","3500 to 4000","Feb-2018"
"1076","LANDED HOUSING DEVELOPMENT","WAK HASSAN PLACE","27","Semi-Detached House","na*","6400","3500 to 4000","Feb-2018"
"1077","SEMBAWANG SPRINGS ESTATE","JALAN SALANG","27","Terrace House","na*","4800","1500 to 2000","Jan-2018"
"1078","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5000","3500 to 4000","Jan-2018"
"1079","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4400","2000 to 2500","Jan-2018"
"1080","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","5600","2500 to 3000","Jan-2018"
"1081","LANDED HOUSING DEVELOPMENT","TAMARIND ROAD","28","Detached House","na*","5000","3000 to 3500","Jan-2018"
"1082","SARACA GARDENS","SARACA WALK","28","Terrace House","na*","3000","2000 to 2500","Jan-2018"
"1083","MIMOSA VALE","MIMOSA VALE","28","Terrace House","na*","3000","2000 to 2500","Jan-2018"
"1084","SELETAR HILLS ESTATE","NERAM ROAD","28","Terrace House","na*","4000","2500 to 3000","Jan-2018"
"1085","SELETAR HILLS ESTATE","JALAN REDOP","28","Semi-Detached House","na*","2900","1500 to 2000","Jan-2018"
"1086","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Terrace House","na*","4200","2000 to 2500","Jan-2018"
"1087","SELETAR HILLS ESTATE","NERAM ROAD","28","Terrace House","na*","3700","2000 to 2500","Jan-2018"
"1088","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4300","2000 to 2500","Jan-2018"
"1089","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Terrace House","na*","4200","2000 to 2500","Jan-2018"
"1090","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Terrace House","na*","4000","2000 to 2500","Jan-2018"
"1091","SELETAR HILLS ESTATE","JALAN SELASEH","28","Semi-Detached House","na*","1800","1000 to 1500","Jan-2018"
"1092","LILAC PARK","LILAC DRIVE","28","Terrace House","na*","3300","1500 to 2000","Jan-2018"
"1093","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4800","3000 to 3500","Jan-2018"
"1094","LANDED HOUSING DEVELOPMENT","JALAN TARI ZAPIN","28","Terrace House","na*","3550","1500 to 2000","Jan-2018"
"1095","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4800","3000 to 3500","Jan-2018"
"1096","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4500","3500 to 4000","Jan-2018"
"1097","MIMOSA VILLAS","MIMOSA WALK","28","Semi-Detached House","na*","7500","2500 to 3000","Jan-2018"
"1098","SEMBAWANG STRAITS ESTATE","ANDREWS AVENUE","27","Detached House","na*","2300","1500 to 2000","Jan-2018"
"1099","SARACA GARDENS","SARACA WALK","28","Semi-Detached House","na*","4000","2500 to 3000","Jan-2018"
"1100","CACTUS GREEN","CACTUS CRESCENT","28","Semi-Detached House","na*","5000","2500 to 3000","Jan-2018"
"1101","SELETAR GARDEN","CACTUS CRESCENT","28","Detached House","na*","6700","4000 to 4500","Jan-2018"
"1102","LANDED HOUSING DEVELOPMENT","LORONG TANGGAM","28","Semi-Detached House","na*","3000","1000 to 1500","Jan-2018"
"1103","SEMBAWANG STRAITS ESTATE","ANDREWS AVENUE","27","Semi-Detached House","na*","5000","3500 to 4000","Jan-2018"
"1104","STRATTON PARK","STRATTON PLACE","28","Terrace House","na*","3000","1500 to 2000","Jan-2018"
"1105","LANDED HOUSING DEVELOPMENT","PENAGA PLACE","27","Terrace House","na*","5000","5000 to 5500","Jan-2018"
"1106","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Terrace House","na*","1600","1000 to 1500","Jan-2018"
"1107","STRATTON PARK","STRATTON PLACE","28","Terrace House","na*","3000","2000 to 2500","Dec-2017"
"1108","SELETAR HILLS ESTATE","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","3380","1500 to 2000","Dec-2017"
"1109","SELETAR HILLS ESTATE","SARACA ROAD","28","Semi-Detached House","na*","2800","1500 to 2000","Dec-2017"
"1110","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Terrace House","na*","4500","3500 to 4000","Dec-2017"
"1111","LANDED HOUSING DEVELOPMENT","JALAN SENDUDOK","27","Detached House","na*","6850","2500 to 3000","Dec-2017"
"1112","SELETAR HILLS ESTATE","NERAM ROAD","28","Detached House","na*","8000","3000 to 3500","Dec-2017"
"1113","FLORIDA PARK","SUNRISE AVENUE","28","Semi-Detached House","na*","3800","2000 to 2500","Dec-2017"
"1114","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","5500","2000 to 2500","Dec-2017"
"1115","SEMBAWANG SPRINGS ESTATE","JALAN HIKAYAT","27","Semi-Detached House","na*","3400","2500 to 3000","Dec-2017"
"1116","SELETAR HILLS ESTATE","JALAN REDOP","28","Semi-Detached House","na*","2800","1500 to 2000","Dec-2017"
"1117","SELETAR HILLS ESTATE","JALAN KENARAH","28","Semi-Detached House","na*","2350","<= 1000","Dec-2017"
"1118","TUAN SING PARK","DEDAP ROAD","28","Semi-Detached House","na*","3800","3000 to 3500","Dec-2017"
"1119","SEMBAWANG STRAITS ESTATE","WAK HASSAN PLACE","27","Semi-Detached House","na*","6000","3500 to 4000","Dec-2017"
"1120","SEMBAWANG STRAITS ESTATE","JALAN KERAYONG","27","Detached House","na*","4350","1000 to 1500","Dec-2017"
"1121","FLORIDA PARK","SUNRISE WAY","28","Semi-Detached House","na*","4000","2000 to 2500","Dec-2017"
"1122","SEMBAWANG STRAITS ESTATE","ANDREWS AVENUE","27","Semi-Detached House","na*","5000","4500 to 5000","Dec-2017"
"1123","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5000","3000 to 3500","Dec-2017"
"1124","RIVERTREES RESIDENCES","FERNVALE CLOSE","28","Terrace House","na*","3500","1000 to 1500","Dec-2017"
"1125","SEMBAWANG SPRINGS ESTATE","SEMBAWANG ROAD","27","Detached House","na*","7800","3000 to 3500","Dec-2017"
"1126","STRATTON PARK","STRATTON WALK","28","Terrace House","na*","3000","2000 to 2500","Dec-2017"
