"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"137","ALANA","SUNRISE TERRACE","28","Terrace House","NA","7037","3000 to 3500","Aug-2020"
"138","KELULUT HILL","KELULUT HILL","28","Terrace House","NA","2700","1500 to 2000","Aug-2020"
"139","LILAC PARK","LILAC DRIVE","28","Terrace House","NA","3200","2000 to 2500","Aug-2020"
"140","CABANA","SUNRISE TERRACE","28","Terrace House","NA","5263","2500 to 3000","Aug-2020"
"141","SUMMER VILLAS","GERALD DRIVE","28","Terrace House","NA","5000","3500 to 4000","Aug-2020"
"142","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","NA","4200","1500 to 2000","Aug-2020"
"143","LUXUS HILLS","LUXUS HILL DRIVE","28","Terrace House","NA","6300","1500 to 2000","Aug-2020"
"144","LANDED HOUSING DEVELOPMENT","JALAN TARI SERIMPI","28","Terrace House","NA","2900","2000 to 2500","Aug-2020"
"145","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Terrace House","NA","5500","3000 to 3500","Aug-2020"
"146","MIMOSA TERRACE","MIMOSA TERRACE","28","Terrace House","NA","3700","2000 to 2500","Aug-2020"
"147","SELETAR HILLS ESTATE","JALAN LAKUM","28","Terrace House","NA","2600","2500 to 3000","Aug-2020"
"148","BELGRAVIA PARK","SELETAR TERRACE","28","Terrace House","NA","3200","2000 to 2500","Aug-2020"
"149","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","NA","4400","3000 to 3500","Aug-2020"
"150","MUGLISTON HILL","MUGLISTON PARK","28","Terrace House","NA","3500","2000 to 2500","Aug-2020"
"151","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","NA","4300","3500 to 4000","Aug-2020"
"152","LILAC PARK","LILAC DRIVE","28","Terrace House","NA","3700","2000 to 2500","Aug-2020"
"153","CABANA","SUNRISE TERRACE","28","Terrace House","NA","4777","2500 to 3000","Aug-2020"
"154","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","NA","4100","3000 to 3500","Aug-2020"
"155","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Terrace House","NA","4800","4000 to 4500","Aug-2020"
"156","ALANA","SUNRISE TERRACE","28","Terrace House","NA","6405","3000 to 3500","Aug-2020"
"157","CABANA","SUNRISE TERRACE","28","Terrace House","NA","4889","2500 to 3000","Aug-2020"
"158","SELETAR HILLS ESTATE","JALAN KERUING","28","Terrace House","NA","3500","3000 to 3500","Aug-2020"
"159","ALANA","SUNRISE TERRACE","28","Terrace House","NA","6470","3000 to 3500","Aug-2020"
"160","LANDED HOUSING DEVELOPMENT","WAK HASSAN PLACE","27","Semi-Detached House","NA","6800","2500 to 3000","Aug-2020"
"161","STRATTON GREEN","STRATTON DRIVE","28","Semi-Detached House","NA","4800","2500 to 3000","Aug-2020"
"162","SEMBAWANG SPRINGS ESTATE","JALAN SENDUDOK","27","Semi-Detached House","NA","3000","1000 to 1500","Aug-2020"
"163","SEMBAWANG SPRINGS ESTATE","JALAN SERENGAM","27","Semi-Detached House","NA","2500","<= 1000","Aug-2020"
